name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score,popularity_norm
Getting Started with Azure,LearnQuest,https://www.coursera.org/learn/cloud-azure-intro,cloud-azure-intro,4.175182481751825,137.0,20.572183269415483,0.4073274190006979
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,https://www.coursera.org/learn/aprendiendo-a-aprender,aprendiendo-a-aprender,4.932333577176299,8202.0,44.45144902770193,0.8801347803571927
Building Batch Data Pipelines on GCP,Google Cloud,https://www.coursera.org/learn/batch-data-pipelines-gcp,batch-data-pipelines-gcp,4.36,375.0,25.853008665179942,0.5118872972829408
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/financial-planning,financial-planning,4.333333333333333,180.0,22.526820468818578,0.44602906359956196
Quantitative Methods,University of Amsterdam,https://www.coursera.org/learn/quantitative-methods,quantitative-methods,4.754978877489439,1657.0,35.25040509230103,0.6979549198515381
The Technology of Music Production,Berklee College of Music,https://www.coursera.org/learn/technology-of-music-production,technology-of-music-production,4.898222940226171,619.0,31.494199446550347,0.62358237849886
Code Yourself! An Introduction to Programming,The University of Edinburgh,https://www.coursera.org/learn/intro-programming,intro-programming,4.810082063305979,1706.0,35.799000752198815,0.708817065657587
Fundamentals of Finance,University of Pennsylvania,https://www.coursera.org/learn/finance-fundamentals,finance-fundamentals,3.888888888888889,27.0,12.958573095125791,0.2565786073185925
How Google does Machine Learning,Google Cloud,https://www.coursera.org/learn/google-machine-learning,google-machine-learning,4.478352692713833,2841.0,35.6130398014937,0.7051350551925993
Object-Oriented Design,University of Alberta,https://www.coursera.org/learn/object-oriented-design,object-oriented-design,4.580684596577017,818.0,30.727617435449208,0.608404122115231
Cost and Economics in Pricing Strategy,BCG,https://www.coursera.org/learn/uva-darden-bcg-pricing-strategy-cost-economics,uva-darden-bcg-pricing-strategy-cost-economics,4.823943661971831,284.0,27.26728935552131,0.5398899305375123
Marketing Gerencial,Universidad de Chile,https://www.coursera.org/learn/marketing-gerencial,marketing-gerencial,4.723486951693504,1801.0,35.41033997306918,0.7011216164212856
Corporate Finance Essentials,IESE Business School,https://www.coursera.org/learn/corporate-finance-essentials,corporate-finance-essentials,4.873889875666075,1689.0,36.22510758245929,0.717253943412152
Information Security: Context and Introduction,"Royal Holloway, University of London",https://www.coursera.org/learn/information-security-data,information-security-data,4.669642857142857,1008.0,32.29858888968694,0.6395092187108735
Introduction to CSS3,University of Michigan,https://www.coursera.org/learn/introcss,introcss,4.80557398805574,4521.0,40.44712097269554,0.8008494371285649
Applied Data Science Capstone,IBM,https://www.coursera.org/learn/applied-data-science-capstone,applied-data-science-capstone,4.533333333333333,1665.0,33.62908639636144,0.6658529522992427
Introduction aux Droits de l’Homme,University of Geneva,https://www.coursera.org/learn/droits-de-lhomme,droits-de-lhomme,4.887755102040816,1078.0,34.1350550342719,0.6758710868198391
"Programming Languages, Part A",University of Washington,https://www.coursera.org/learn/programming-languages,programming-languages,4.941765241128299,1099.0,34.60750546557714,0.6852255637982467
Leadership in 21st Century Organizations,Copenhagen Business School,https://www.coursera.org/learn/leadership-21st-century,leadership-21st-century,4.774285714285714,700.0,31.28354479781371,0.6194114349851514
Software Processes and Agile Practices,University of Alberta,https://www.coursera.org/learn/software-processes-and-agile-practices,software-processes-and-agile-practices,4.686161879895561,1915.0,35.41798786310989,0.7012730439713073
DevOps Culture and Mindset,"University of California, Davis",https://www.coursera.org/learn/devops-culture-and-mindset,devops-culture-and-mindset,4.824175824175824,182.0,25.131477154916308,0.4976010368528045
