name,institution,course_url,course_id,avg_rating,n_reviews,popularity_score
Devenir entrepreneur du changement,HEC Paris,https://www.coursera.org/learn/entrepreneur-changement,entrepreneur-changement,4.7561436672967865,529.0,29.834704250416177
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,https://www.coursera.org/learn/wharton-entrepreneurship-opportunity,wharton-entrepreneurship-opportunity,4.801242236024844,1932.0,36.33017648713068
R Programming,Johns Hopkins University,https://www.coursera.org/learn/r-programming,r-programming,4.238336713995944,11832.0,39.74986610055789
Economics of Money and Banking,Columbia University,https://www.coursera.org/learn/money-banking,money-banking,4.955719557195572,813.0,33.213036057348376
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",https://www.coursera.org/learn/principles-of-macroeconomics,principles-of-macroeconomics,4.639502762430939,1448.0,33.76921908460659
Behavioral Finance,Duke University,https://www.coursera.org/learn/duke-behavioral-finance,duke-behavioral-finance,4.093023255813954,1677.0,30.39216251434369
Project Execution,"University of California, Irvine",https://www.coursera.org/learn/project-execution,project-execution,3.9285714285714284,42.0,14.77614331165328
Microeconomics Principles,University of Illinois at Urbana-Champaign,https://www.coursera.org/learn/microeconomics,microeconomics,4.820487804878049,1025.0,33.42248114159557
Design Thinking for Innovation,University of Virginia,https://www.coursera.org/learn/uva-darden-design-thinking-innovation,uva-darden-design-thinking-innovation,4.677365799667958,5421.0,40.21702030661615
Financial Accounting Fundamentals,University of Virginia,https://www.coursera.org/learn/uva-darden-financial-accounting,uva-darden-financial-accounting,4.841791044776119,1005.0,33.474871590358234
Understanding Clinical Research: Behind the Statistics,University of Cape Town,https://www.coursera.org/learn/clinical-research,clinical-research,4.812720848056537,1698.0,35.796031645643716
Fashion as Design,The Museum of Modern Art,https://www.coursera.org/learn/fashion-design,fashion-design,4.841673502871206,1219.0,34.40786663237616
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,https://www.coursera.org/learn/teamwork-skills-effective-communication,teamwork-skills-effective-communication,4.781685870224378,1649.0,35.425265930845434
International Organizations Management,University of Geneva,https://www.coursera.org/learn/international-organizations-management,international-organizations-management,4.837037037037037,810.0,32.39977066175826
Marketing Digital,Universidade de São Paulo,https://www.coursera.org/learn/estrategia-marketing-digital,estrategia-marketing-digital,4.798927613941019,1119.0,33.693673716025636
"Excel/VBA for Creative Problem Solving, Part 1",University of Colorado Boulder,https://www.coursera.org/learn/excel-vba-for-creative-problem-solving-part-1,excel-vba-for-creative-problem-solving-part-1,4.859037328094303,2036.0,37.022139580909524
Introduction to Probability and Data with R,Duke University,https://www.coursera.org/learn/probability-intro,probability-intro,4.62962962962963,2916.0,36.93662486049871
Understanding and Visualizing Data with Python,University of Michigan,https://www.coursera.org/learn/understanding-visualization-data,understanding-visualization-data,4.635391923990499,842.0,31.228482229312636
Fundamentals of Visualization with Tableau,"University of California, Davis",https://www.coursera.org/learn/data-visualization-tableau,data-visualization-tableau,4.355434782608696,2760.0,34.50962639696101
Getting Started with SAS Programming,SAS,https://www.coursera.org/learn/sas-programming-basics,sas-programming-basics,4.874587458745874,909.0,33.21273159563562
Machine Learning for All,University of London,https://www.coursera.org/learn/uol-machine-learning-for-all,uol-machine-learning-for-all,4.69271758436945,1689.0,34.878547460953875
Using Databases with Python,University of Michigan,https://www.coursera.org/learn/python-databases,python-databases,4.705329949238578,7880.0,42.21720879253764
Sports Marketing,Northwestern University,https://www.coursera.org/learn/sports-marketing,sports-marketing,4.659722222222222,432.0,28.287951496456046
Introduction to Programming with MATLAB,Vanderbilt University,https://www.coursera.org/learn/matlab,matlab,4.825731398295324,8682.0,43.76514857618416
Preparing to Manage Human Resources,University of Minnesota,https://www.coursera.org/learn/managing-human-resources,managing-human-resources,4.855762594893029,4347.0,40.67901152700095
Building Scalable Java Microservices with Spring Boot and Spring Cloud,Google Cloud,https://www.coursera.org/learn/google-cloud-java-spring,google-cloud-java-spring,4.019027484143764,473.0,24.7620615614003
Google Cloud Product Fundamentals,Google Cloud,https://www.coursera.org/learn/google-cloud-product-fundamentals,google-cloud-product-fundamentals,4.7,270.0,26.329958458134595
Engineering Health: Introduction to Yoga and Physiology,New York University,https://www.coursera.org/learn/engineering-health-yoga-physiology,engineering-health-yoga-physiology,4.581818181818182,165.0,23.422198593924527
AI for Medical Diagnosis,DeepLearning.AI,https://www.coursera.org/learn/ai-for-medical-diagnosis,ai-for-medical-diagnosis,4.602346805736636,767.0,30.577024456338048
Natural Language Processing with Sequence Models,DeepLearning.AI,https://www.coursera.org/learn/sequence-models-in-nlp,sequence-models-in-nlp,3.967741935483871,186.0,20.755689028164973
Innovation Management,Erasmus University Rotterdam,https://www.coursera.org/learn/innovation-management,innovation-management,4.721014492753623,828.0,31.72625674688873
The Manager's Toolkit: A Practical Guide to Managing People at Work,"Birkbeck, University of London",https://www.coursera.org/learn/people-management,people-management,4.68107302533532,1342.0,33.71618303767435
Essential Google Cloud Infrastructure: Core Services,Google Cloud,https://www.coursera.org/learn/gcp-infrastructure-core-services,gcp-infrastructure-core-services,4.665283540802213,2169.0,35.84095891031935
Weight Management: Beyond Balancing Calories,Emory University,https://www.coursera.org/learn/weight-management-beyond-balancing-calories,weight-management-beyond-balancing-calories,4.7784810126582276,474.0,29.451282766114897
Java Programming: Solving Problems with Software,Duke University,https://www.coursera.org/learn/java-programming,java-programming,4.495421245421245,3276.0,36.38901284932462
"Competencias digitales. Herramientas de ofimática (Microsoft Word, Excel, Power Point)",Universitat Autònoma de Barcelona,https://www.coursera.org/learn/competencias-digitales-ofimatica,competencias-digitales-ofimatica,4.772351615326822,2662.0,37.6405326349287
People Analytics,University of Pennsylvania,https://www.coursera.org/learn/wharton-people-analytics,wharton-people-analytics,4.523022432113341,2541.0,35.463691164878334
UX Design Fundamentals,California Institute of the Arts,https://www.coursera.org/learn/ux-design-fundamentals,ux-design-fundamentals,4.791376912378303,719.0,31.52367235796217
Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,HEC Paris,https://www.coursera.org/learn/investment-management,investment-management,4.604651162790698,301.0,26.29452440558661
Introduction to Data Analysis Using Excel,Rice University,https://www.coursera.org/learn/excel-data-analysis,excel-data-analysis,4.709333333333333,4500.0,39.615170416627514
